time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
15-Jan-25,17.4,4,0,6.3
16-Jan-25,16.2,7.8,0,10.8
17-Jan-25,17.2,6.3,0,9.5
18-Jan-25,16.9,8,0,5
19-Jan-25,16.7,5.6,0,7.8
20-Jan-25,20,9.6,0,10.9
21-Jan-25,19.9,7.9,0,10.3
22-Jan-25,21,8.1,0,10.6
23-Jan-25,20.5,8.3,0,9.5
24-Jan-25,19.7,7.8,0,10.3
25-Jan-25,20.5,7.5,0,9.4
26-Jan-25,21.4,5,0,8.6
27-Jan-25,21.9,5.5,0,8.6
28-Jan-25,22.9,6.3,0,7.2
29-Jan-25,21.8,8.6,0,12.5
30-Jan-25,23.9,9.6,0,10.3
31-Jan-25,23.1,8.4,0.3,12.8
01-Feb-25,21.4,10.5,12,15
02-Feb-25,22.1,8.4,0,9.3
03-Feb-25,21.6,7.8,0,10.2
04-Feb-25,21.3,7.7,0,10.6
05-Feb-25,20.3,6.9,0,6.7
06-Feb-25,21.4,7.1,0,14
07-Feb-25,21.4,8.6,0,13.3
08-Feb-25,23.2,9.7,0,10.4
09-Feb-25,25.1,8.3,0,6.9
10-Feb-25,24.9,10.2,0,7.2
11-Feb-25,24.7,10.5,0.2,14.1
12-Feb-25,24.2,10.8,0,14.5
13-Feb-25,24.1,9.9,0,14.2
14-Feb-25,24.8,8.3,0,11.5
15-Feb-25,24.6,12.6,1,18.3
16-Feb-25,25.6,11.2,0,9.2
17-Feb-25,26.8,10.8,0,9.6
18-Feb-25,27,12.6,0,11.7
19-Feb-25,27.1,11.3,2.9,13.2
20-Feb-25,17.8,10.4,38.9,17.6
21-Feb-25,20.7,9.4,0,8.7
22-Feb-25,21.8,11.2,0.1,9.5
23-Feb-25,23.9,10.3,0,8.2
24-Feb-25,25.6,10.7,0,9.9
25-Feb-25,19.1,12.9,1.2,10.9
26-Feb-25,25.8,15.5,3.5,19.3
27-Feb-25,19.8,15.5,25.1,22.4
28-Feb-25,20.1,14.1,16.4,14
01-Mar-25,21.9,11.2,0,9
02-Mar-25,21.9,10.1,0,9.4
03-Mar-25,20.7,10.1,0.6,13.5
04-Mar-25,19.5,10.2,0,14.9
05-Mar-25,20.9,9.8,0,18.5
06-Mar-25,23,9.4,0,10
07-Mar-25,24.1,9.3,0,9.4
08-Mar-25,25.5,11.3,0,8.9
09-Mar-25,27,12,0,8.8
10-Mar-25,26.9,16,0.3,16.7
11-Mar-25,28.4,15,0,12.6
12-Mar-25,27.4,16.3,0,12.1
13-Mar-25,25.6,15.5,0.3,15.5
14-Mar-25,26,13.5,3.6,17.4
15-Mar-25,23.5,13.8,3.5,14.2
16-Mar-25,25.7,12.2,0,7.4
17-Mar-25,27.4,12,0,9.8
18-Mar-25,29.7,13.8,0,10.6
19-Mar-25,29.7,16.6,0.6,15.6
20-Mar-25,30.8,13.9,0,11.4
21-Mar-25,31.2,14.9,0,15.2
22-Mar-25,31.8,13.8,0,9.6
23-Mar-25,33.4,13.9,0,8.7
24-Mar-25,33.9,15.4,0,10
25-Mar-25,34,17,0,12.6
26-Mar-25,32.3,20.5,0,18
27-Mar-25,35.4,20.3,0,23.3
28-Mar-25,28.1,16.6,0,15.2
29-Mar-25,29.7,13.2,0,17.5
30-Mar-25,31.2,13.2,0,12.8
31-Mar-25,33.3,14.1,0,15.3
01-Apr-25,33.2,15.9,0,13.8
02-Apr-25,35.3,15.7,0,16.5
03-Apr-25,34.9,16.3,0.5,16.3
04-Apr-25,34.3,17.2,0,13.6
05-Apr-25,36,18,0,10.1
06-Apr-25,38.5,18.2,0,11.3
07-Apr-25,39.7,21.2,0,15.6
08-Apr-25,39.9,22.4,0.1,20.7
09-Apr-25,39.4,23,0,14.7
10-Apr-25,37.2,22.7,0,12.6
11-Apr-25,32,21.7,1.2,22.4
12-Apr-25,34.1,19.1,0.1,14.9
13-Apr-25,35.3,18.9,0,13.3
14-Apr-25,37.4,21,0,12.8
15-Apr-25,38.1,23.6,0,12.9
16-Apr-25,38.4,23.8,0.1,20.7
17-Apr-25,38.5,22.6,0,12.7
18-Apr-25,39.6,23.3,0.5,22.5
19-Apr-25,40.1,23.2,0,26.8
20-Apr-25,39.9,24.5,0,25.2
21-Apr-25,39.3,21.7,0,16.2
22-Apr-25,39,21.7,0,13.2
23-Apr-25,39.3,21.8,0,11.5
24-Apr-25,39.6,21,0,13.3
25-Apr-25,40.4,21.2,0,19.1
26-Apr-25,41.3,22.2,0,24
27-Apr-25,40.9,21.6,0,17.1
28-Apr-25,41.9,22.9,0,17.2
29-Apr-25,40.6,24.5,0,17.7
30-Apr-25,40.5,25.9,0,15.4
01-May-25,38.8,26.3,0.4,18
02-May-25,32.7,24.3,0.9,17.5
03-May-25,33.3,22,0.5,18.7
04-May-25,33.3,22,6.3,21.9
05-May-25,29.6,22.4,2.7,12.1
06-May-25,34.9,21.4,0,8.5
07-May-25,35,23.4,0.3,14.4
08-May-25,35.3,23.7,0.3,15.9
09-May-25,33.9,22.4,0,18.4
10-May-25,34.4,23.6,0.1,9.7
11-May-25,37.3,24.3,0.4,19
12-May-25,37.1,22.3,0,18.5
13-May-25,38.4,21.9,0,12.8
